111.82 -6.15 612 -0.74 0.95 -0.21 0.11 -0.60 -0.41 25 X Y 201909190732B  
110.76 -5.75 541 -4.69 3.53 1.16 2.47 -6.55 -2.28 23 X Y 201910250715A  
114.88 -8.08 12 1.28 -0.55 -0.73 -4.47 1.70 1.78 23 X Y 201911141021A  
107.49 -8.33 43 3.56 -3.93 0.37 1.95 -0.68 1.25 23 X Y 202001052312A  
113.09 -6.11 597 -1.78 1.65 0.13 -1.96 0.75 -0.47 25 X Y 202002051812A  
106.62 -6.73 12 -2.01 0.18 1.83 3.46 0.36 1.50 23 X Y 202003101018A  
113.17 -8.82 126 -2.05 2.16 -0.11 3.25 0.71 -0.16 23 X Y 202004050015A  
110.96 -9.10 71 -0.47 0.88 -0.41 0.47 -0.11 0.01 24 X Y 202006211933A  
112.31 -9.18 104 -2.17 -0.21 2.38 -0.69 0.88 -0.87 23 X Y 202007041909A  
110.55 -5.69 535 -1.03 1.00 0.03 0.26 -0.59 -0.49 26 X Y 202007062254A  
106.29 -6.64 99 5.60 -3.35 -2.25 -0.90 0.76 -4.84 23 X Y 202007070444A  
114.04 -9.59 45 4.95 -5.02 0.07 3.22 -1.40 1.38 23 X Y 202008150712A  
108.14 -10.12 13 4.88 -4.11 -0.77 3.77 -2.86 1.10 23 X Y 202008231738A  
112.65 -9.80 57 0.56 -2.13 1.57 1.81 -0.43 1.05 23 X Y 202010061352A  
107.90 -8.37 53 2.12 -2.05 -0.07 1.17 -0.08 0.93 24 X Y 202010250056A  
109.70 -9.79 14 -0.39 2.05 -1.66 1.15 -0.25 0.22 23 X Y 202012130839A  
105.66 -6.65 73 2.06 -1.11 -0.96 -0.12 -0.29 -1.64 23 X Y 202102251945A  
112.52 -8.85 83 0.27 0.39 -0.66 -1.00 0.52 0.31 25 X Y 202104100700A  
112.38 -8.64 132 1.28 0.82 -2.10 0.78 -1.24 -0.36 23 X Y 202104102354A  
106.96 -7.91 63 3.94 -6.23 2.29 2.10 1.46 2.92 23 X Y 202104270923A  
112.28 -8.55 119 2.54 2.44 -4.98 2.88 -4.34 -1.82 24 X Y 202105211209A  
105.27 -6.70 18 -3.66 2.13 1.53 0.97 2.06 2.05 23 X Y 202105230350A  
110.66 -8.52 83 1.83 0.29 -2.11 -0.69 2.58 -2.22 23 X Y 202106272215A  
111.37 -9.06 59 2.11 -2.08 -0.03 0.73 -0.07 0.58 23 X Y 202107271621A  
109.07 -8.43 76 1.90 -2.14 0.24 0.74 -0.11 0.41 23 X Y 202108091436A  
112.57 -8.97 73 3.19 -3.82 0.63 1.50 -0.08 0.84 23 X Y 202110220221A  
107.80 -9.57 22 1.68 -1.86 0.17 1.23 -0.81 0.55 23 X Y 202110250652A  
114.21 -9.93 25 1.19 -1.41 0.22 4.01 0.18 0.61 23 X Y 202112142129A  
105.21 -7.10 40 0.79 -0.77 -0.02 0.62 0.01 0.34 26 X Y 202201140905A  
105.99 -7.45 40 3.47 -3.26 -0.21 2.09 -0.28 2.69 23 X Y 202201170025A  
105.81 -7.39 48 -2.59 1.92 0.66 -4.40 0.14 -6.92 23 X Y 202202041010A  
107.08 -9.40 18 -2.69 3.63 -0.94 1.48 -2.54 -2.48 23 X Y 202202171950A  
105.93 -7.21 12 -1.42 -0.09 1.51 2.35 -1.31 7.03 23 X Y 202203120531A  
106.99 -8.12 51 1.03 -1.08 0.05 0.61 -0.01 0.40 24 X Y 202203160300A  
105.89 -7.21 12 -0.94 0.07 0.87 1.90 -0.33 2.28 23 X Y 202204010454A  
105.95 -7.18 12 -1.51 -0.20 1.71 3.58 -2.63 5.82 23 X Y 202204010714A  
111.54 -8.62 133 -0.08 1.21 -1.12 0.82 1.22 0.03 23 X Y 202206112355A  
113.01 -9.72 36 0.76 -0.94 0.18 0.34 -0.15 0.09 24 X Y 202207082027A  
112.92 -9.72 38 2.75 -2.84 0.09 1.13 -0.62 0.37 23 X Y 202207082250A  
113.06 -9.74 41 2.46 -2.77 0.31 1.79 -0.56 0.25 23 X Y 202207090253A  
106.07 -6.93 35 -1.30 0.97 0.33 3.28 -0.59 2.41 23 X Y 202210091002A  
107.36 -8.33 40 0.96 -1.02 0.06 0.67 0.05 0.19 24 X Y 202211121318A  
108.73 -9.16 31 0.81 -0.80 -0.01 0.69 -0.13 0.17 24 X Y 202211131510A  
105.33 -7.15 41 3.88 -3.33 -0.54 1.70 -1.62 1.32 23 X Y 202211151722A  
107.93 -8.13 65 3.55 -3.49 -0.06 1.92 0.29 1.07 23 X Y 202211191828A  
107.08 -6.84 15 0.08 -0.98 0.90 0.17 0.85 2.54 24 X Y 202211210621A  
107.57 -7.44 123 1.36 4.48 -5.84 2.21 -0.97 -3.02 24 X Y 202212030949A  
112.52 -6.14 600 -3.33 2.77 0.56 -4.99 4.46 3.29 23 X Y 202212041502A  
113.41 -10.73 12 -0.69 0.64 0.05 0.38 -0.09 -0.17 25 X Y 202212060607A  
113.37 -10.66 12 -0.78 0.45 0.34 0.40 0.29 -0.40 24 X Y 202212061022A  
107.06 -7.03 119 3.71 1.73 -5.44 -2.80 3.13 -1.13 24 X Y 202212080050A  
105.08 -6.10 21 -0.05 -1.11 1.16 0.91 -0.13 3.16 23 X Y 202212162150A  
109.58 -9.68 47 2.18 -3.34 1.16 2.02 -0.12 -0.12 23 X Y 202212242057A  
