time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-14T09:49:20.820Z,-7.0422,105.2063,34.46,5.4,mww,,23,2.4,0.5,us,us7000gbww,2022-03-19T22:08:01.040Z,"100 km SW of Labuan, Indonesia",earthquake,5.6,3.7,0.098,10,reviewed,us,us
2022-01-14T09:05:41.461Z,-6.86,105.2887,33,6.6,mww,,22,2.418,0.54,us,us7000gbu4,2023-06-19T04:41:11.580Z,"80 km SW of Labuan, Indonesia",earthquake,3.5,1.7,0.063,24,reviewed,us,us
2022-01-06T14:30:46.328Z,-7.2389,105.1142,10,4.5,mb,,74,3.24,0.91,us,us7000gc1k,2022-03-12T22:19:22.040Z,"123 km SW of Labuan, Indonesia",earthquake,5.8,1.9,0.109,27,reviewed,us,us
2021-12-23T06:33:56.401Z,-7.1983,105.2869,35,4.5,mb,,74,2.358,0.48,us,us6000gerz,2022-03-01T16:39:43.040Z,"108 km SSW of Labuan, Indonesia",earthquake,6.5,1.9,0.087,44,reviewed,us,us
2021-12-22T01:50:44.418Z,-8.3743,105.5173,10,4.7,mb,,103,2.069,0.64,us,us6000gecy,2022-03-01T16:39:10.040Z,"191 km SW of Pelabuhanratu, Indonesia",earthquake,6.3,1.9,0.085,42,reviewed,us,us
2021-11-15T11:09:03.146Z,-6.157,108.0175,277.76,4.4,mb,,32,1.347,0.84,us,us7000fu9x,2022-01-22T20:51:53.040Z,"26 km ENE of Pamanukan, Indonesia",earthquake,8,6.5,0.068,62,reviewed,us,us
2021-11-11T18:19:25.084Z,-6.6027,108.105,164.41,4.2,mb,,120,0.966,0.65,us,us7000ftav,2021-11-12T17:58:28.040Z,"22 km NW of Jatiwangi, Indonesia",earthquake,9.2,7.2,0.124,18,reviewed,us,us
2021-11-10T02:50:07.762Z,-7.5917,105.8256,21.04,5.1,mb,,45,1.813,0.84,us,us7000fsv8,2022-08-06T19:48:32.675Z,"104 km SW of Pelabuhanratu, Indonesia",earthquake,2.3,4.2,0.062,83,reviewed,us,us
2021-11-09T08:01:03.138Z,-8.3656,106.7549,24.32,4.3,mb,,86,1.261,0.53,us,us7000ftlc,2022-01-15T20:51:52.040Z,"149 km SSW of Banjar, Indonesia",earthquake,7.5,4.9,0.188,9,reviewed,us,us
2021-10-20T18:53:17.448Z,-7.9008,106.4551,35,4.5,mb,,133,1.261,1.01,us,us6000fxfe,2021-12-25T22:59:01.040Z,"101 km S of Pelabuhanratu, Indonesia",earthquake,8.3,2,0.205,8,reviewed,us,us
